"position","well","row","column","media","strain","plasmid"
1,"A1","A",1,"SD-Trp","SY992","URA3_WT-A"
2,"B1","B",1,"SD-Trp","SY992","URA3_WT-A"
3,"C1","C",1,"SD-Trp","SY992","URA3_05-A"
4,"D1","D",1,"SD-Trp","SY992","URA3_05-A"
5,"E1","E",1,"SD-Trp","SY992","URA3_34-A"
6,"F1","F",1,"SD-Trp","SY992","URA3_34-A"
7,"G1","G",1,"SD-Trp","SY992","URA3_B1-A"
8,"H1","H",1,"SD-Trp","SY992","URA3_B1-A"
9,"A2","A",2,"SD-Trp","SY992","URA3_C1-A"
10,"B2","B",2,"SD-Trp","SY992","URA3_C1-A"
11,"C2","C",2,"SD-Trp","SY992","URA3_D1-A"
12,"D2","D",2,"SD-Trp","SY992","URA3_D1-A"
13,"E2","E",2,"SD-Trp","SY992","URA3_E1-A"
14,"F2","F",2,"SD-Trp","SY992","URA3_E1-A"
15,"G2","G",2,"SD-Trp","SY992","URA3_F1-A"
16,"H2","H",2,"SD-Trp","SY992","URA3_F1-A"
17,"A3","A",3,"SD-Trp","SY992","URA3_G1-A"
18,"B3","B",3,"SD-Trp","SY992","URA3_G1-A"
19,"C3","C",3,"SD-Trp","SY992","URA3_H1-A"
20,"D3","D",3,"SD-Trp","SY992","URA3_H1-A"
21,"E3","E",3,"SD-Trp","SY992","URA3_P2-A1-A"
22,"F3","F",3,"SD-Trp","SY992","URA3_P2-A1-A"
23,"G3","G",3,"SD-Trp","SY992","URA3_P2-B1-A"
24,"H3","H",3,"SD-Trp","SY992","URA3_P2-B1-A"
25,"A4","A",4,"SD-Trp","SY992","URA3_P2-C1-A"
26,"B4","B",4,"SD-Trp","SY992","URA3_P2-C1-A"
27,"C4","C",4,"SD-Trp","SY992","URA3_P2-D1-A"
28,"D4","D",4,"SD-Trp","SY992","URA3_P2-D1-A"
29,"E4","E",4,"SD-Trp","SY992","URA3_F12-C"
30,"F4","F",4,"SD-Trp","SY992","URA3_F12-C"
31,"G4","G",4,"SD-Trp","SY992","URA3_B12-A"
32,"H4","H",4,"SD-Trp","SY992","URA3_B12-A"
33,"A5","A",5,"SD-Trp","SY992","URA3_WT-A"
34,"B5","B",5,"SD-Trp","SY992","URA3_WT-A"
35,"C5","C",5,"SD-Trp","SY992","URA3_05-A"
36,"D5","D",5,"SD-Trp","SY992","URA3_05-A"
37,"E5","E",5,"SD-Trp","SY992","URA3_34-A"
38,"F5","F",5,"SD-Trp","SY992","URA3_34-A"
39,"G5","G",5,"SD-Trp","SY992","URA3_B1-A"
40,"H5","H",5,"SD-Trp","SY992","URA3_B1-A"
