query_sequence,top_match,e_value
psd95pdz3_0,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",2.98291e-49
psd95pdz3_1,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",2.53661e-48
psd95pdz3_2,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",6.90427e-47
psd95pdz3_3,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",5.60464e-47
psd95pdz3_4,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",4.63975e-43
psd95pdz3_5,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",1.22724e-44
psd95pdz3_6,"pdb|8AH4|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|B Chain B, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|C Chain C, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|D Chain D, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|E Chain E, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|F Chain F, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH5|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH6|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH6|B Chain B, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH7|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens]",4.33163e-44
psd95pdz3_7,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",2.34969e-43
psd95pdz3_8,"pdb|8AH4|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|B Chain B, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|C Chain C, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|D Chain D, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|E Chain E, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|F Chain F, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH5|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH6|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH6|B Chain B, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH7|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens]",8.44495e-45
psd95pdz3_9,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",5.46993e-43
