,query_sequence,top_match,e_value,active,flagged
0,t7rnapol_0,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
1,t7rnapol_1,ref|WP_260790296.1| DNA-directed RNA polymerase [Pseudomonas aeruginosa] >gb|UXA41723.1| hypothetical protein MMG97_16465 [Pseudomonas aeruginosa],0.0,False,True
2,t7rnapol_2,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
3,t7rnapol_3,gb|WPK33069.1| DNA-directed RNA polymerase [Escherichia phage AV103],0.0,False,True
4,t7rnapol_4,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
5,t7rnapol_5,ref|WP_260790296.1| DNA-directed RNA polymerase [Pseudomonas aeruginosa] >gb|UXA41723.1| hypothetical protein MMG97_16465 [Pseudomonas aeruginosa],0.0,False,True
6,t7rnapol_6,gb|WPK33069.1| DNA-directed RNA polymerase [Escherichia phage AV103],0.0,False,True
7,t7rnapol_7,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
8,t7rnapol_8,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
9,t7rnapol_9,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
10,t7rnapol_10,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
11,t7rnapol_11,gb|AAA32569.1| RNA polymerase [Escherichia phage T7] >gb|ALY06011.1| T7 RNA polymerase [Cloning vector pAKT7] >gb|ALY06013.1| T7 RNA polymerase [Cloning vector pYAT7],0.0,False,True
12,t7rnapol_12,gb|XLQ29395.1| RNA polymerase [Escherichia phage KKE5P],0.0,False,True
13,t7rnapol_13,gb|QXV80637.1| RNA polymerase [Escherichia phage JacobBurckhardt],0.0,False,True
14,t7rnapol_14,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
15,t7rnapol_15,ref|YP_009804754.1| RNA polymerase [Salmonella phage 3A_8767] >gb|AXC37072.1| DNA-directed RNA polymerase [Salmonella phage 3A_8767],0.0,False,True
16,t7rnapol_16,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
17,t7rnapol_17,gb|AAA32569.1| RNA polymerase [Escherichia phage T7] >gb|ALY06011.1| T7 RNA polymerase [Cloning vector pAKT7] >gb|ALY06013.1| T7 RNA polymerase [Cloning vector pYAT7],0.0,False,True
18,t7rnapol_18,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
19,t7rnapol_19,gb|WPK33069.1| DNA-directed RNA polymerase [Escherichia phage AV103],0.0,False,True
20,t7rnapol_20,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
21,t7rnapol_21,gb|XLQ29395.1| RNA polymerase [Escherichia phage KKE5P],0.0,False,True
22,t7rnapol_22,ref|WP_260790296.1| DNA-directed RNA polymerase [Pseudomonas aeruginosa] >gb|UXA41723.1| hypothetical protein MMG97_16465 [Pseudomonas aeruginosa],0.0,False,True
23,t7rnapol_23,gb|WPK33069.1| DNA-directed RNA polymerase [Escherichia phage AV103],0.0,False,True
24,t7rnapol_24,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
25,t7rnapol_25,gb|WPK33069.1| DNA-directed RNA polymerase [Escherichia phage AV103],0.0,False,True
