"position","well","row","column","media_1","media_2","media_3","media_4","strain","plasmid","media_1_fraction","media_2_fraction","media_3_fraction","media_4_fraction"
1,"A1","A",1,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_WT-A",0.000000000000000,0.050000000000000,0.000000000000000,0.950000000000000
2,"B1","B",1,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_WT-A",0.000000000000000,0.003125000000000,0.000000000000000,0.996875000000000
3,"C1","C",1,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_05-A",0.000000000000000,0.050000000000000,0.000000000000000,0.950000000000000
4,"D1","D",1,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_05-A",0.000000000000000,0.003125000000000,0.000000000000000,0.996875000000000
5,"E1","E",1,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_34-A",0.000000000000000,0.050000000000000,0.000000000000000,0.950000000000000
6,"F1","F",1,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_34-A",0.000000000000000,0.003125000000000,0.000000000000000,0.996875000000000
7,"G1","G",1,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_WT-B",0.000000000000000,0.050000000000000,0.000000000000000,0.950000000000000
8,"H1","H",1,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_WT-B",0.000000000000000,0.003125000000000,0.000000000000000,0.996875000000000
9,"A2","A",2,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_WT-A",0.000000000000000,0.025000000000000,0.000000000000000,0.975000000000000
10,"B2","B",2,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_WT-A",0.000000000000000,0.001562500000000,0.000000000000000,0.998437500000000
11,"C2","C",2,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_05-A",0.000000000000000,0.025000000000000,0.000000000000000,0.975000000000000
12,"D2","D",2,"SD-Trp","SD-Trp-Ura","none","SG-Trp-Ura","SY992","URA3_05-A",0.000000000000000,0.001562500000000,0.000000000000000,0.998437500000000
